Reference,SpeechId,Direction,SttLatency,length,beginOfSpeech,endOfSpeech,SttResult,TranslationLatency,length,TranslatedResult,useless,translation comment
1707728465893
,1707728470621,1,869ms,5,1707728470622,1707728472684,Hello,492ms,7,Bonjour
,1707728476210,0,519ms,7,1707728476212,1707728482406,Bonjour,204ms,5,Hello
,1707728485568,1,477ms,40,1707728485571,1707728489686,I am Sunil calling from Bangalore India.,109ms,44,Je vous appelle encore de Bangalore en Inde.
,1707728490946,0,423ms,6,1707728490957,1707728492987,Pardon,71ms,6,Sorry.
,1707728494410,0,380ms,16,1707728494412,1707728499685,D'accord bonjour,72ms,12,Okay hello.
,1707728504468,1,501ms,40,1707728504470,1707728509293,So today's topic is culture and history.,132ms,52,Le sujet d'aujourd'hui est la culture et l'histoire.
,1707728506523,0,404ms,36,1707728506524,1707728509675,Bonjour je vous entends très bien. ,87ms,32,Hello I can hear you very well.
,1707728516326,0,367ms,8,1707728516327,1707728519266,D'accord,49ms,5,Okay.
,1707728522264,1,549ms,105,1707728522266,1707728533186,To start with I just wanted to know like what is the different kind of languages people in France speak.,168ms,108,Pour commencer je voulais juste savoir quelles sont les différentes langues que les gens en France parlent.
,1707728542881,0,870ms,219,1707728542884,1707728557666,Principalement la langue de Paris en France c'est le français et après il peut y. Avoir plusieurs autres personnes qui parlent de l'espagnol de l'italienne et la langue veut parler c'est le français ? C'est pratique. ,1707728558536ms,188,Mainly the language of Paris in France it's French and then there can be several other people who speak Spanish from Italian and the language wants to speak it's French? It's convenient.
,1707728573289,1,590ms,128,1707728573293,1707728582846,Because I have heard there are different Dialects and languages that are being spoken including Arabic ititalian Chinese Briton.,226ms,123,Parce que j'ai entendu dire qu'il y a différentes dialectes et langues qui sont parlées y compris l'arabe italien chinois.
,1707728591729,0,824ms,394,1707728591732,1707728614783,Oui c'est comme je veux dire en fait. Il y a des langues en fait mais c'est pas ça dépend des personnes il y. A des personnes qui vont parler de l'italienne il y a des personnes qui ne vont pas parler de l'espagnol un peu du portugais ça dépend de toute chacun n'est-ce pas des langues officielles ça sert varier en fonction des personnes finalement officiellement parler c'est le français ?,1707728615607ms,359,Yes it's like I mean actually. There are languages actually but it's not it depends on the people there. To people who are going to speak Italian there are people who are not going to speak Spanish a little Portuguese it depends on everyone... Isn't it official languages it serves to vary according to the people finally officially speaking it is French?
,1707728639667,1,424ms,9,1707728639668,1707728642028,Okay okay,66ms,14,Bon d'accord.
,1707728643068,1,467ms,118,1707728643081,1707728654087,I have heard as part of your culture. The French people love to use a lot of phrases in your day-to-day communication.,1707728654554ms,131,J'ai entendu dans le cadre de votre culture. Les Français aiment utiliser beaucoup de phrases dans votre communication quotidienne.
,1707728661328,1,430ms,11,1707728661329,1707728663470,Is it true?,67ms,13,Est-ce vrai ?
,1707728663107,0,586ms,135,1707728663108,1707728675829,Oui ça c'est vrai oui c'est vrai oui c'est vrai il y a des phrases qui sont communément utilisées dans notre langage de chaque jour ? ,220ms,113,Yes that's true yes it's true yes it's true there are sentences that are commonly used in our everyday language?
,1707728684825,1,417ms,28,1707728684827,1707728688501,I have no doubts. May I ask?,1707728688918ms,44,Je n'ai aucun doute. Puis-je vous demander ?
,1707728690346,1,431ms,29,1707728690347,1707728693867,I have worked out. May I ask?,1707728694298ms,39,J'ai travaillé. Puis-je vous demander ?
,1707728696429,1,448ms,17,1707728696432,1707728699470,I have one doubt.,71ms,14,J'ai un doute.
