Reference,SpeechId,Direction,SttLatency,length,beginOfSpeech,endOfSpeech,SttResult,TranslationLatency,length,TranslatedResult,useless,translation comment
1710928906696
,1710928904881,1,942ms,39,1710928904889,1710928909599,Hi my name is Nalini can you hear me?,574ms,41,Hola mi nombre es Nalini ¿puedes oírme?
,1710928907839,0,939ms,6,1710928907855,1710928909800,Hello.,656ms,6,Hello!
,1710928914478,0,390ms,5,1710928914482,1710928916199,Hola.,54ms,6,Hello.
,1710928916555,0,318ms,2,1710928916565,1710928918655,Sí,24ms,9,Yes I do
,1710928923562,1,473ms,28,1710928923563,1710928926123,May I know your name please?,106ms,34,¿Puedo saber tu nombre por favor?
,1710928924836,0,326ms,3,1710928924839,1710928927691,Sí.,26ms,9,Yes I do
,1710928931316,0,424ms,18,1710928931319,1710928934918,Jorge. Y el tuyo. ,78ms,16,Jorge and yours.
,1710928942800,1,441ms,63,1710928942818,1710928948993,Okay so today's topic of discussion is educational consultation,119ms,60,Bueno el tema de discusión de hoy es la consulta educativa.
,1710928945199,0,399ms,19,1710928945200,1710928947770,¿cuál es tu nombre?,66ms,17,What's your name?
,1710928954116,1,435ms,18,1710928954117,1710928957036,My name is Nalini.,80ms,20,Mi nombre es Nalini.
,1710928955919,0,370ms,3,1710928955920,1710928958160,Ok.,54ms,3,OK.
,1710928961882,0,351ms,10,1710928961883,1710928964200,Un placer.,26ms,11,My pleasure
,1710928964638,1,412ms,39,1710928964639,1710928967959,Are you comfortable with today's topic?,90ms,38,¿Te sientes cómodo con el tema de hoy?
,1710928973481,0,457ms,25,1710928973483,1710928977554,Sí un poco. soy cómodo. ,91ms,34,Yeah a little bit I'm comfortable.
,1710928983435,1,403ms,75,1710928983436,1710928991240,It will be a general discussion kind of thing. No need to take much stress.,1710928991643ms,63,Será un debate general. No hay necesidad de tomar mucho estrés.
,1710928997757,0,404ms,13,1710928997759,1710929000800,Ok está bien.,60ms,11,Ok is okay.
,1710929005478,1,467ms,60,1710929005480,1710929010913,Do you have any idea about the public universities in Spain?,108ms,60,¿Tienes alguna idea de las universidades públicas en España?
,1710929013800,1,386ms,20,1710929013800,1710929016515,Is it free to study?,68ms,20,¿Es gratis estudiar?
,1710929021320,0,491ms,78,1710929021321,1710929032840,No. Algunas son públicas y una prioridad. Pero es gratis algunos sí otras no. ,141ms,63,Some are not public and a priority but it is free some are not.
,1710929045435,1,442ms,48,1710929045438,1710929049639,Are there any English universities in Barcelona?,86ms,45,¿Hay alguna universidad inglesa en Barcelona?
